Tracker;Status;Priority;Subject;Category;Estimated time;Description;Caratteristica di riferimento;id;assegnatario;tempo impiegato;hash commit;Commento
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 40 to the 15 allowed.""";CRITICAL;30min;"Key: AYiMxjHNXwWVr5mP8FXT Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASreadItemCompressed_GPSTIME11_v2.java - startLine: 71;startOffset: 27;endOffset: 31;endLine: 71";Maintenance (Code Smells);81;Claudia Stallone;25 minuti;201dbb3d6ada9fd4216eaa61c618bb391fc11f4f;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 48 to the 15 allowed.""";CRITICAL;38min;"Key: AYiMxjGTXwWVr5mP8FWB Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASreadItemCompressed_POINT10_v1.java - startLine: 84;startOffset: 27;endOffset: 31;endLine: 84";Maintenance (Code Smells);82;Claudia Stallone;20 minuti;0a0429e6be2dc21d353747add47022d19ded1357;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 58 to the 15 allowed.""";CRITICAL;48min;"Key: AYiMxjJnXwWVr5mP8Fhg Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASreadItemCompressed_POINT14_v3.java - startLine: 157;startOffset: 16;endOffset: 20;endLine: 157";Maintenance (Code Smells);83;Claudia Stallone;20 minuti;42fee9992f1d0c0c5c199abd8efe2a68f33149c2;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 83 to the 15 allowed.""";CRITICAL;1h13min;"Key: AYiMxjPCXwWVr5mP8Ftj Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASreadPoint.java - startLine: 82;startOffset: 19;endOffset: 24;endLine: 82";Maintenance (Code Smells);84;Claudia Stallone;5 minuti;d7ece44b1252e229072bc3ad85ea6c534a209047;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 30 to the 15 allowed.""";CRITICAL;20min;"Key: AYiMxjJQXwWVr5mP8Fe8 Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASreadItemCompressed_RGB14_v3.java - startLine: 121;startOffset: 25;endOffset: 29;endLine: 121";Maintenance (Code Smells);85;Claudia Stallone;20 minuti;20215397a9249fcb1ea41e48a89e1d00295a8e3e;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 79 to the 15 allowed.""";CRITICAL;1h9min;"Key: AYiMxjPCXwWVr5mP8Ftn Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASreadPoint.java - startLine: 361;startOffset: 19;endOffset: 23;endLine: 361";Maintenance (Code Smells);86;Claudia Stallone;30 minuti;af1e8d4024d74cd8f8f73ea8910e2aeecbda8699;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 46 to the 15 allowed.""";CRITICAL;36min;"Key: AYiMxjMqXwWVr5mP8Fqy Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASzip.java - startLine: 244;startOffset: 12;endOffset: 22;endLine: 244";Maintenance (Code Smells);87;Claudia Stallone;25 minuti;5d01d41367795e4fb55efcdc5a9e5ddc5cb62e8c;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 28 to the 15 allowed.""";CRITICAL;18min;"Key: AYiMxjMqXwWVr5mP8Fq3 Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LASzip.java - startLine: 383;startOffset: 12;endOffset: 17;endLine: 383";Maintenance (Code Smells);88;Claudia Stallone;10 minuti;7cfb55a01ac696397144517f78db8c00c11160cd;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 69 to the 15 allowed.""";CRITICAL;59min;"Key: AYiMxjMyXwWVr5mP8FrK Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laszip/LasItemsFactory.java - startLine: 24;startOffset: 28;endOffset: 36;endLine: 24";Maintenance (Code Smells);89;Claudia Stallone;10 minuti;88e3df5a62bab565add6d5e21e511f589d1bc661;
To-Do;New;Normal;"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 70 to the 15 allowed.""";CRITICAL;1h;"Key: AYiMxjFKXwWVr5mP8FDT Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASwriterTXT.java - startLine: 95;startOffset: 12;endOffset: 16;endLine: 95";Maintenance (Code Smells);90;Claudia Stallone;30 minuti;8eb2edf5020d2024551e1dd244f63ac1a7ef303f;
